name,pokedex_number,abilities,,,typing,,hp,attack,defense,special_attack,special_defense,speed,height,weight,genus,gen_introduced,female_rate,genderless,baby_pokemon,legendary,mythical,is_default,forms_switchable,base_experience,capture_rate,egg_groups,,egg_cycles,base_happiness,can_evolve,evolves_from,primary_color,shape
Bulbasaur,1,Overgrow,Chlorophyll,,Grass,Poison,45,49,49,65,65,45,7,69,Seed Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,64,45,Monster,Grass,20,70,TRUE,,Green,Quadruped
Ivysaur,2,Overgrow,Chlorophyll,,Grass,Poison,60,62,63,80,80,60,10,130,Seed Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,142,45,Monster,Grass,20,70,TRUE,Bulbasaur,Green,Quadruped
Venusaur,3,Overgrow,Chlorophyll,,Grass,Poison,80,82,83,100,100,80,20,1000,Seed Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,236,45,Monster,Grass,20,70,FALSE,Ivysaur,Green,Quadruped
Venusaur Gmax,3,Overgrow,Chlorophyll,,Grass,Poison,80,82,83,100,100,80,240,10000,Seed Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,236,45,Monster,Grass,20,70,FALSE,Ivysaur,Green,Quadruped
Venusaur Mega,3,Thick Fat,,,Grass,Poison,80,100,123,122,120,80,24,1555,Seed Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,281,45,Monster,Grass,20,70,FALSE,Ivysaur,Green,Quadruped
Charmander,4,Blaze,Solar Power,,Fire,,39,52,43,60,50,65,6,85,Lizard Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,62,45,Monster,Dragon,20,70,TRUE,,Red,Upright
Charmeleon,5,Blaze,Solar Power,,Fire,,58,64,58,80,65,80,11,190,Flame Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,142,45,Monster,Dragon,20,70,TRUE,Charmander,Red,Upright
Charizard,6,Blaze,Solar Power,,Fire,Flying,78,84,78,109,85,100,17,905,Flame Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,240,45,Monster,Dragon,20,70,FALSE,Charmeleon,Red,Upright
Charizard Gmax,6,Blaze,Solar Power,,Fire,Flying,78,84,78,109,85,100,280,10000,Flame Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,240,45,Monster,Dragon,20,70,FALSE,Charmeleon,Red,Upright
Charizard Mega X,6,Tough Claws,,,Fire,Dragon,78,130,111,130,85,100,17,1105,Flame Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,285,45,Monster,Dragon,20,70,FALSE,Charmeleon,Red,Upright
